date,title,transcript_url
"April 18, 2014","Press Briefing by Press Secretary Jay Carney, Deputy National Security Advisor for Strategic Communications Ben Rhodes, and National Security Advisor Susan Rice, 4/18/2014",/the-press-office/2014/04/18/press-briefing-press-secretary-jay-carney-deputy-national-security-advis
date,title,transcript_url
"April 15, 2014","Press Briefing by Press Secretary Jay Carney, 4/15/2014",/the-press-office/2014/04/15/press-briefing-press-secretary-jay-carney-4152014
"April 14, 2014","Press Briefing by Press Secretary Jay Carney, 4/14/2014",/the-press-office/2014/04/14/press-briefing-press-secretary-jay-carney-4142014
"April 04, 2014","Press Briefing by Principal Deputy Press Secretary Josh Earnest, 4/4/2014",/the-press-office/2014/04/04/press-briefing-principal-deputy-press-secretary-josh-earnest-442014
"April 03, 2014","Press Briefing by Press Secretary Jay Carney, 4/3/2014",/the-press-office/2014/04/03/press-briefing-press-secretary-jay-carney-432014
date,title,transcript_url
"March 28, 2014",Press Briefing by Senior Administration Officials on the President's Bilateral Meeting with His Majesty King Abdullah of Saudi Arabia,/the-press-office/2014/03/28/press-briefing-senior-administration-officials-presidents-bilateral-meet
"March 21, 2014","Press Briefing by Press Secretary Jay Carney, National Security Advisor Susan Rice, and Deputy National Security Advisor for Strategic Communications Ben Rhodes",/the-press-office/2014/03/21/press-briefing-press-secretary-jay-carney-national-security-advisor-susa
date,title,transcript_url
"March 19, 2014","Press Briefing by Press Secretary Jay Carney, 3/19/2014",/the-press-office/2014/03/19/press-briefing-press-secretary-jay-carney-3192014
"March 18, 2014","Press Briefing by Press Secretary Jay Carney, 3/18/2014",/the-press-office/2014/03/18/press-briefing-press-secretary-jay-carney-3182014
"March 17, 2014","Press Briefing by Press Secretary Jay Carney, 3/17/14",/the-press-office/2014/03/17/press-briefing-press-secretary-jay-carney-31714
"March 17, 2014",Press Briefing By The First Lady’s Chief Of Staff Tina Tchen And Deputy National Security Advisor For Strategic Communications Ben Rhodes On The First Lady’s Upcoming Travel To China,/the-press-office/2014/03/17/press-briefing-first-lady-s-chief-staff-tina-tchen-and-deputy-national-s
"March 14, 2014","Press Briefing by Press Secretary Jay Carney and Secretary of Education Arne Duncan, 3/14/2014",/the-press-office/2014/03/14/press-briefing-press-secretary-jay-carney-and-secretary-education-arne-d
"March 13, 2014","Press Briefing by Press Secretary Jay Carney, 3/13/2014",/the-press-office/2014/03/13/press-briefing-press-secretary-jay-carney-3132014
"March 10, 2014","Press Briefing by Press Secretary Jay Carney, 3/10/14",/the-press-office/2014/03/10/press-briefing-press-secretary-jay-carney-31014
date,title,transcript_url
"March 04, 2014","Press Briefing on the President's Budget, 3/4/2014",/the-press-office/2014/03/04/press-briefing-presidents-budget-342014
"February 28, 2014","Press Briefing by Press Secretary Jay Carney, 2/28/2014",/the-press-office/2014/02/28/press-briefing-press-secretary-jay-carney-2282014
date,title,transcript_url
"February 21, 2014","Press Briefing by Press Secretary Jay Carney, 2/21/2014",/the-press-office/2014/02/21/press-briefing-press-secretary-jay-carney-2212014
"February 20, 2014","Press Briefing by Principal Deputy Press Secretary Josh Earnest, 2/20/2014",/the-press-office/2014/02/20/press-briefing-principal-deputy-press-secretary-josh-earnest-2202014
"February 18, 2014","Press Briefing by Press Secretary Jay Carney, 2/18/2014",/the-press-office/2014/02/18/press-briefing-press-secretary-jay-carney-2182014
"February 14, 2014","Press Briefing by Press Secretary Jay Carney, 2/14/14",/the-press-office/2014/02/14/press-briefing-press-secretary-jay-carney-21414
"February 14, 2014",Press Briefing by Secretary Vilsack and Dr. Holdren on the President's Trip to CA,/the-press-office/2014/02/14/press-briefing-secretary-vilsack-and-dr-holdren-presidents-trip-ca
"February 14, 2014",Press Briefing by Senior Administration Officials on the Visit of King Abdullah of Jordan,/the-press-office/2014/02/14/press-briefing-senior-administration-officials-visit-king-abdullah-jorda
"February 12, 2014","Press Briefing by Press Secretary Jay Carney, 2/12/2014",/the-press-office/2014/02/12/press-briefing-press-secretary-jay-carney-2122014
